name	affiliations_count	affiliations
Abed Akram H.	2	University of Technology, Baghdad, Iraq University of Technology Baghdad Iraq | Ural Federal University
Akter Yasmin	2	Department of Nuclear Science and Engineering, Military Institute of Science and Technology, Dhaka, Bangladesh Military Institute of Science and Technology Dhaka Bangladesh | Department of Nuclear Science & Engineering, Military Institute of Science and Technology, Dhaka, Bangladesh Military Institute of Science and Technology Dhaka Bangladesh
Andrianov Andrei A.	2	IATE MEPhI | National Research Nuclear University MEPhI
Andrianov Andrey A.	2	IATE MEPhI | National Research Nuclear University MEPhI
Andrianova Olga N.	2	IATE MEPhI | JSC "SSC RF-IPPE n.a. A.I. Leypunsky"
Arkadov Gennady V.	2	JSC Scientific and Technical Center Diaprom | Non-Profit Partnership for Promoting the Development of System Engineering “Rise”
Avdeenkov Alexandr V.	2	JSC "SSC RF-IPPE n.a. A.I. Leypunsky" | VNIIAES JSC
Bakanov Mikhail V.	2	Beloyarsk AtomEnergoRepair | JSC "Rosenergoatom Concern"
Bakhantsov Kirill A.	2	IATE MEPhI | JSC "SSC RF-IPPE n.a. A.I. Leypunsky"
Barbin Nikolay M.	3	Ural Federal University | Ural Institute of GPS EMERCOM of Russia | Ural State Agrarian University
Chekin Sergey Yu.	2	A.Tsyb Medical Radiological Research Centre-branch of the National Medical Research Radiological Centre, Ministry of Helath of the Russian Federation | P. Ramzaev FSO Research Institute of Radiation Hygiene
Cherepnin Yuriy S.	2	National Research University Moscow Power Engineering Institute | NIKIET JSC
Chusov Igor A.	3	IATE MEPhI | National Research Nuclear University MEPhI | OKB Gidropress JSC
El Banni Fadi	2	IREN, Nangui Abrogoua University, Abidjan, Cote d’Ivoire Nangui Abrogoua University Abidjan Cote d'Ivoire | National Center for Energy, Sciences and Nuclear Technique, Rabat, Morocco
Evdokimov Igor A.	2	JSC “RF SRC Troitsk Institute for Innovative and Thermonuclear Research” | State Research Center of the Russian Federation “Troitsk Institute for Innovation & Fusion Research”
Fardin Mehraz Zaman	2	Department of Nuclear Science and Engineering, Military Institute of Science and Technology, Dhaka, Bangladesh Military Institute of Science and Technology Dhaka Bangladesh | Department of Nuclear Science & Engineering, Military Institute of Science and Technology, Dhaka, Bangladesh Military Institute of Science and Technology Dhaka Bangladesh
Frolov Igor E.	2	Institute of Economic Forecasting, Russian Academy of Sciences | National Research Nuclear University MEPhI
Gabaraev Boris A.	2	National Research University Moscow Power Engineering Institute | NIKIET JSC
Gulina Olga M.	2	OKB Gidropress JSC | VNIIAES JSC
Karpovich Gleb W.	3	IATE MEPhI | Instrumental Enterprise Signal PJSC | OKB Gidropress JSC
Katser Iurii D.	2	Cifrum – Nuclear Industry Digitalization Support, Private Enterprise | Skolkovo Institute of Science and Technology
Ketlerov Vladimir V.	2	JSC "SSC RF-IPPE n.a. A.I. Leypunsky" | VNIIAES JSC
Kharanzhevskiy Evgeny V.	2	OJSC “ELECOND” | Udmurt State University
Kharanzhevsky Yevgeny V.	2	JSC “ELEKOND” | Udmurt State University
Khnykina Ekaterina S.	2	IATE MEPhI | JSC "SSC RF-IPPE n.a. A.I. Leypunsky"
Kishkin Vladimir L.	2	FSUE VNIIA | National Research Nuclear University MEPhI
Kolesov Valery V.	4	IATE MEPhI | Karpov Institute of Physical Chemistry | National Research Center "Kurchatov Institute" | National Research Nuclear University MEPhI
Korovin Yury A.	2	IATE MEPhI | National Research Nuclear University MEPhI
Kotsoyev Konstantin I.	3	Bauman Moscow State Technical University | KVANT PROGRAMM Ltd | KVANT PROGRAMM LTD
Kozitsin Vyacheslav O.	2	Cifrum – Nuclear Industry Digitalization Support, Private Enterprise | Skolkovo Institute of Science and Technology
Kozlov Ilya	2	National Research Center "Kurchatov Institute" | National Research Nuclear University MEPhI
Kremlyova Vladlena S.	2	IATE MEPhI | JSC "SSC RF-IPPE n.a. A.I. Leypunsky"
