affiliation	rows
A.A. Galkin Donetsk Institute of Physics and Technology	1
Admiral Makarov State university of Maritime and Inland shipping (SUMIS)	1
Aircraft Electrical Equipment Department, Military Technical College, Cairo, Egypt Aircraft Electrical Equipment Department, Military Technical College Cairo Egypt https://ror.org/01337pb37	1
AKME-Engineering JSC	4
All-Russian Research Institute of Chemical Technology	2
AMS “Golden Valley”, Novosibirsk State University	1
A.N. Frumkin Institute of Physical Chemistry and Electrochemistry the Russian Academy of Sciences	4
A. Tsyb Medical Radiological Research Center – Branch of the National Medical Research Radiological Center of the Ministry of Health of the Russian Federation	2
A.Tsyb Medical Radiological Research Centre-branch of the National Medical Research Radiological Centre, Ministry of Helath of the Russian Federation	4
Bangladesh Atomic Energy Commission	1
Branch of IDGC of the South, PJSC – Volgogradenergo	1
Branch of MPEI in Volzhsky	2
Branch of PJSC “Rosseti Yug” – Volgogradenergo	1
Central Economics and Mathematics Institute, RAS	1
Central Laboratory for Radiological Protection (CLOR), Warsaw, Poland Central Laboratory for Radiological Protection (CLOR) Warsaw Poland	1
Centre for Research Impact and Outcome, Chitkara University, Punjab, India Chitkara University Punjab India	1
Chairman of the Board of Directors, Nuclear Power Plants Authority, Cairo, Egypt Chairman of the Board of Directors, Nuclear Power Plants Authority Cairo Egypt	1
Chemical Engineering Department, Faculty of Engineering, Alexandria University, Egypt Missouri University of Science and Technology Rolla United States of America	2
China Institute of Atomic Energy, Beijing	7
Cifrum – Nuclear Industry Digitalization Support, Private Enterprise	4
College of Nuclear Science and Technology, Harbin Engineering University	1
CRAMS: Center for Research in Applied Mathematics and Statistics , AUL, Cola, Beirut, Lebanon CRAMS: Center for Research in Applied Mathematics and Statistics Beirut Lebanon	1
Department of Electrical and Electronic Engineering, Faculty of Engineering, Near East University, Lefkosa, TRNC, Turkey Near East University Lefkosa Turkey	1
Department of Geology & Geoenvironment, National and Kapodistrian University of Athens, Zografou Campus	2
Department of Mechanical Engineering, Yeshwantrao Chavan College of Engineering, Nagpur, India Yeshwantrao Chavan College of Engineering Nagpur India	2
Department of Medical Radiation Engineering, Science and Research Branch, Islamic Azad University, Tehran, Iran Islamic Azad University Tehran Iran	2
Department of Nuclear Engineering, University of Dhaka	3
Department of Nuclear Engineering, University of Dhaka, Dhaka, Bangladesh University of Dhaka Dhaka Bangladesh	1
Department of Nuclear Safety Engineering, Faculty of Science and Engineering, Tokyo City University	1
Department of Nuclear Science and Engineering, Military Institute of Science and Technology, Dhaka, Bangladesh Military Institute of Science and Technology Dhaka Bangladesh	4
Department of Nuclear Science & Engineering, Military Institute of Science and Technology, Dhaka, Bangladesh Military Institute of Science and Technology Dhaka Bangladesh	4
Department of Physics, Faculty of Arts and Sciences, Najran University, Najran, Saudi Arabia Najran University Najran Saudi Arabia	1
Department of Physics, National and Kapodistrian University of Athens, Zografou Campus	9
Department of Physics, Oda Bultum University, Chiro, Ethiopia Oda Bultum University Chiro Ethiopia https://ror.org/05j2hty04	1
Department of Political Science, Indiana University, Bloomington	1
Department of Robotics & Artificial Intelligence, Priyadarshini College of Engineering, Nagpur, India Priyadarshini College of Engineering Nagpur India	1
Dosing, Analysis and Characterization in High Resolution Laboratory, Ferhat ABBAS	1
Electricite De France (EDF), EDF Lab Paris-Saclay	3
Electric Power and Energy Department, Military Technical College, Cairo, Egypt Electric Power and Energy Department, Military Technical College Cairo Egypt https://ror.org/01337pb37	1
Experimental Scientific Research and Methodology Center “Simulation Systems” (SSL)	5
Experimental Scientific Research and Methodology Center “Simulation Systems” (SSL) 133 Lenin st., Obninsk, Kaluga reg.	1
Faculty of Chemistry, Lomonosov Moscow State University	2
